abide [əˈbʌɪd];abided [əˈbʌɪdɪd] / abode [əˈbəʊd];abided [əˈbʌɪdɪd]
arise [əˈraɪz];arose [əˈroʊz];arisen [əˈrɪzn]
awake [əˈwaɪk];awoke [əˈwoʊk];awoken [əˈwoʊkn]
be [bi:] / am / are / is;was [wɒz] / were [wɜ:];been [bi:n]
bear [bɛə];bore [bɔ:];borne [bɔ:n]
beat [bi:t];beat [bi:t];beaten [bi:tn]
become [bɪˈkʌm];became [bɪˈkeɪm];become [bɪˈkʌm]
begin [bɪˈgɪn];began [bɪˈgæn];begun [bɪˈgʌn]
behold [bɪˈhəʊld];beheld [bɪˈhɛld];beheld [bɪˈhɛld]
bend [bɛnd];bent [bɛnt];bent [bɛnt]
bereave [bɪˈriːv];bereft [bɪˈrɛft] / bereaved [bɪˈriːvd];bereft [bɪˈrɛft] / bereaved [bɪˈriːvd]
beseech [bɪˈsiːtʃ];besought [bɪˈsɔːt] / beseeched [bɪˈsiːtʃt];besought [bɪˈsɔːt] / beseeched [bɪˈsiːtʃt]
beset [bɪˈsɛt];beset [bɪˈsɛt];beset [bɪˈsɛt]
bet [bɛt];bet [bɛt];bet [bɛt]
bid [bɪd];bid [bɪd] / bade [beɪd];bidden [bɪdn]
bid [bɪd];bid [bɪd];bid [bɪd]
bind [baɪnd];bound [baʊnd];bound [baʊnd]
bite [bʌɪt];bit [bɪt];bitten [bɪtn]
bleed [bli:d];bled [blɛd];bled [blɛd]
blow [bloʊ];blew [blu:];blown [blu:]
break [breɪk];broke [broʊk];broken [broʊkən]
breed [bri:d];bred [brɛd];bred [brɛd]
bring [brɪŋ];brought [brɔ:t];brought [brɔ:t]
build [bɪld];built [bɪlt];built [bɪlt]
burn [bɜ:n];burned [bɜ:nd] / burnt [bɜ:nt];burned [bɜ:nd] / burnt [bɜ:nt]
burst [bɜ:st];burst [bɜ:st];burst [bɜ:st]
bust [bʌst];busted [bʌstɪd] / bust [bʌst];busted [bʌstɪd] / bust [bʌst]
buy [baɪ];bought [bɔ:t];bought [bɔ:t]
cast [kɑ:st];cast [kɑ:st];cast [kɑ:st]
catch [kætʃ];caught [kɔ:t];caught [kɔ:t]
choose [tʃu:z];chose [tʃoʊz];chosen [tʃoʊzn]
cleave [kli:v];cleft [klɛft];cleft [klɛft]
cling [klɪŋ];clung [klʌŋ];clung [klʌŋ]
clothe [kloʊð];clothed [kloʊðd] / clad [klæd];clothed/clad [kloʊðd/klæd]
come [kʌm];came [keɪm];come [keɪm]
cost [kɒst];cost [kɒst];cost [kɒst]
creep [kri:p];crept [krɛpt];crept [krɛpt]
cut [kʌt];cut [kʌt];cut [kʌt]
deal [di:l];dealt [dɛlt];dealt [dɛlt]
dig [dɪg];dug [dʌg];dug [dʌg]
disprove [dɪsˈpruːv];disproved [dɪsˈpruːvd];disproved [dɪsˈpruːvd] / disproven [dɪsˈpru:vən]
dive [daɪv];dove [doʊv] /dived [daɪvd];dived [daɪvd]
do [du:];did [dɪd];done [dʌn]
draw [drɔ:];drew [dru:];drawn [drɔ:n]
dream [dri:m];dreamed [dri:md] / dreamt [drɛmt];dreamed [dri:md] / dreamt [drɛmt]
drink [drɪnk];drank [drænk];drunk [drʌnk]
drive [draɪv];drove [droʊv];driven [drɪvn]
dwell [dwel];dwelt [dwɛlt] / dwelled [dwɛld];dwelt [dwɛlt] / dwelled [dwɛld]
eat [i:t];ate [ɛt];eaten [i:tn]
fall [fɔ:l];fell [fɛl];fallen [fɔ:lən]
feed [fi:d];fed [fɛd];fed [fɛd]
feel [fi:l];felt [fɛlt];felt [fɛlt]
fight [faɪt];fought [fɔ:t];fought [fɔ:t]
find [faɪnd];found [faʊnd];found [faʊnd]
fit [fɪt];fit [fɪt] / fitted [ˈfɪtɪd];fit [fɪt] / fitted [ˈfɪtɪd]
flee [fli:];fled [flɛd];fled [flɛd]
fling [flɪŋ];flung [flʌŋ];flung [flʌŋ]
fly [flaɪ];flew [flu:];flown [floʊn]
forbid [fəˈbɪd];forbade [fəˈbeɪd];forbidden [fəbɪdn]
forgo [fɔːˈɡəʊ];forewent [fɔːˈwɛnt];foregone [fɔːˈɡɒn]
foresee [fɔːˈsiː];foresaw [fɔːˈsɔː];foreseen [fɔːˈsiːn]
foretell [fɔːˈtɛl];foretold [fɔːˈtəʊld];foretold [fɔːˈtəʊld]
forget [fəˈget];forgot [fəˈgɒt];forgotten [fəˈgɒtn]
forgive [fəˈgɪv];forgave [fəˈgeɪv];forgiven [fəgɪvn]
forsake [fəˈseɪk];forsook [fəˈsʊk];forsaken [fəˈseɪkn]
freeze [fri:z];froze [froʊz];frozen [froʊzn]
get [get];got [gɒt];gotten [gɒtn] / got [gɒt]
gild [gɪld];gilt [gɪlt];gilt [gɪlt]
give [gɪv];gave [geɪv];given [gɪvn]
go [goʊ];went [wɛnt];gone [ɡɒn]
grind [graɪnd];ground [graʊnd];ground [graʊnd]
grow [groʊ];grew [gru:];grown [groʊn]
hang [hæŋ];hung [hʌŋ];hung [hʌŋ]
have [hæv];had [hæd];had [hæd]
hear [hɪə];heard [hɜ:d];heard [hɜ:d]
heave [hi:v];heaved [hi:vd] / hove [həʊv];heaved [hi:vd] / hove [həʊv]
hew [hju:];hewed [hju:d];hewn [hju:n] / hewed [hju:d]
hide [haɪd];hid [hɪd];hidden [hɪdn]
hit [hɪt];hit [hɪt];hit [hɪt]
hold [hoʊld];held [hɛld];held [hɛld]
hurt [hɜ:t];hurt [hɜ:t];hurt [hɜ:t]
inlay [ɪnˈleɪ];inlaid [ɪnˈleɪd];inlaid [ɪnˈleɪd]
input [ˈɪnpʊt];input [ˈɪnpʊt];input [ˈɪnpʊt]
interweave [ɪntəˈwiːv];interwove [ɪntəˈwəʊv];interwoven [ɪntəˈwəʊv(ə)n]
keep [ki:p];kept [kɛpt];kept [kɛpt]
kneel [ni:l];knelt [nɛlt];knelt [nɛlt]
knit [nɪt];knit [nɪt];knit [nɪt]
know [noʊ];knew [nju:];known [noʊn]
lay [leɪ];laid [leɪd];laid [leɪd]
lead [li:d];led [lɛd];led [lɛd]
lean [li:n];leant [lɛnt];leant [lɛnt]
leap [li:p];leapt [lɛpt];leapt [lɛpt]
learn [lɜ:n];learned [lɜ:nd] /learnt [lɜ:nt];learnt [lɜ:nt]
leave [li:v];left [lɛft];left [lɛft]
lend [lɛnd];lent [lɛnt];lent [lɛnt]
let [lɛt];let [lɛt];let [lɛt]
lie [laɪ];lay [leɪ];lain [leɪn]
lie [laɪ];lied [laɪd];lied [laɪd]
light [laɪt];lit [lɪt] / lighted [laɪtɪd];lit [lɪt] / lighted [laɪtɪd]
lose [lu:z];lost [lɒst];lost [lɒst]
make [meɪk];made [meɪd];made [meɪd]
mean [mi:n];meant [mɛnt];meant [mɛnt]
meet [mi:t];met [mɛt];met [mɛt]
mistake [mɪisˈteɪk];mistook [mɪˈstʊk];mistaken [mɪˈsteɪk(ə)n]
mow [moʊ];mowed [moʊd];mown [moʊn]
overcome [əʊvəˈkʌm];overcame [əʊvəˈkeɪm];overcome [əʊvəˈkʌm]
pay [peɪ];paid [peɪd];paid [peɪd]
plead [pli:d];pleaded [pli:dɪd] / pled [plɛd];pleaded [pli:dɪd] / pled [plɛd]
prove [pru:v];proved [pru:vd];proven [pru:vən] / proved [pru:vd]
put [pʊt];put [pʊt];put [pʊt]
read [ri:d];read [rɛd];read [rɛd]
